GeneIDV5-5,GeneSymbol,PathwayID,GenotypeID,Time,Replicate,RPKM
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0,1,47
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0,2,58
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0.5,1,56
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,0.5,2,58
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,4,1,75
Cre11-g467547,GTS1,A-Chlsynthesis,WTNT,4,2,73
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0,1,42
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0,2,47
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0.5,1,84
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,0.5,2,83
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,4,1,33
Cre11-g467547,GTS1,A-Chlsynthesis,WT+BV,4,2,32
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0,1,68
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0,2,81
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0.5,1,71
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,0.5,2,70
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,4,1,62
Cre11-g467547,GTS1,A-Chlsynthesis,hoNT,4,2,71
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0,1,65
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0,2,71
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0.5,1,84
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,0.5,2,76
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,4,1,32
Cre11-g467547,GTS1,A-Chlsynthesis,ho+BV,4,2,29
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0,1,73
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0,2,81
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0.5,1,74
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,0.5,2,73
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,4,1,79
Cre11-g467547,GTS1,A-Chlsynthesis,C1NT,4,2,75
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0,1,62
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0,2,73
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0.5,1,84
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,0.5,2,83
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,4,1,78
Cre11-g467547,GTS1,A-Chlsynthesis,C2NT,4,2,82
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,0,1,34
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,0,2,35
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,0.5,1,24
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,0.5,2,26
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,4,1,109
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WTNT,4,2,115
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,0,1,32
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,0,2,34
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,0.5,1,22
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,0.5,2,26
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,4,1,169
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,WT+BV,4,2,171
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,0,1,30
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,0,2,32
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,0.5,1,25
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,0.5,2,27
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,4,1,102
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,hoNT,4,2,114
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,0,1,30
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,0,2,32
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,0.5,1,31
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,0.5,2,30
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,4,1,124
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,ho+BV,4,2,119
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,0,1,35
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,0,2,34
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,0.5,1,29
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,0.5,2,29
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,4,1,112
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C1NT,4,2,112
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,0,1,33
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,0,2,35
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,0.5,1,26
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,0.5,2,27
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,4,1,123
Cre07-g313700,GTS2-TSE2,A-Chlsynthesis,C2NT,4,2,119
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,0,1,188
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,0,2,183
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,0.5,1,128
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,0.5,2,134
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,4,1,306
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WTNT,4,2,326
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,0,1,158
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,0,2,166
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,0.5,1,163
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,0.5,2,207
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,4,1,363
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,WT+BV,4,2,361
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,0,1,158
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,0,2,162
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,0.5,1,133
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,0.5,2,141
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,4,1,274
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,hoNT,4,2,298
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,0,1,157
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,0,2,164
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,0.5,1,196
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,0.5,2,209
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,4,1,345
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,ho+BV,4,2,333
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,0,1,168
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,0,2,171
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,0.5,1,149
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,0.5,2,155
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,4,1,290
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C1NT,4,2,282
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,0,1,166
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,0,2,173
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,0.5,1,149
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,0.5,2,149
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,4,1,299
Cre07-g342150,HEMA1HEM1,A-Chlsynthesis,C2NT,4,2,310
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,0,1,156
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,0,2,155
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,0.5,1,98
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,0.5,2,96
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,4,1,771
Cre03-g158000,GSA1,A-Chlsynthesis,WTNT,4,2,763
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,0,1,133
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,0,2,141
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,0.5,1,126
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,0.5,2,141
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,4,1,656
Cre03-g158000,GSA1,A-Chlsynthesis,WT+BV,4,2,629
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,0,1,181
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,0,2,187
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,0.5,1,142
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,0.5,2,148
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,4,1,608
Cre03-g158000,GSA1,A-Chlsynthesis,hoNT,4,2,615
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,0,1,169
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,0,2,185
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,0.5,1,207
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,0.5,2,223
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,4,1,539
Cre03-g158000,GSA1,A-Chlsynthesis,ho+BV,4,2,500
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,0,1,210
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,0,2,207
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,0.5,1,167
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,0.5,2,163
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,4,1,681
Cre03-g158000,GSA1,A-Chlsynthesis,C1NT,4,2,670
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,0,1,191
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,0,2,185
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,0.5,1,164
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,0.5,2,167
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,4,1,712
Cre03-g158000,GSA1,A-Chlsynthesis,C2NT,4,2,739
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,0,1,164
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,0,2,164
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,0.5,1,124
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,0.5,2,123
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,4,1,374
Cre02-g091050,ALAD1,A-Chlsynthesis,WTNT,4,2,367
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,0,1,146
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,0,2,150
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,0.5,1,136
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,0.5,2,151
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,4,1,553
Cre02-g091050,ALAD1,A-Chlsynthesis,WT+BV,4,2,529
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,0,1,183
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,0,2,186
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,0.5,1,155
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,0.5,2,154
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,4,1,395
Cre02-g091050,ALAD1,A-Chlsynthesis,hoNT,4,2,401
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,0,1,181
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,0,2,186
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,0.5,1,194
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,0.5,2,195
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,4,1,519
Cre02-g091050,ALAD1,A-Chlsynthesis,ho+BV,4,2,493
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,0,1,198
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,0,2,190
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,0.5,1,173
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,0.5,2,163
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,4,1,420
Cre02-g091050,ALAD1,A-Chlsynthesis,C1NT,4,2,393
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,0,1,189
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,0,2,182
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,0.5,1,168
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,0.5,2,170
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,4,1,432
Cre02-g091050,ALAD1,A-Chlsynthesis,C2NT,4,2,420
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,0,1,165
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,0,2,165
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,0.5,1,62
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,0.5,2,56
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,4,1,846
Cre16-g663900,PBGD1,A-Chlsynthesis,WTNT,4,2,861
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,0,1,141
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,0,2,146
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,0.5,1,105
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,0.5,2,125
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,4,1,778
Cre16-g663900,PBGD1,A-Chlsynthesis,WT+BV,4,2,775
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,0,1,217
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,0,2,231
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,0.5,1,107
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,0.5,2,107
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,4,1,679
Cre16-g663900,PBGD1,A-Chlsynthesis,hoNT,4,2,703
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,0,1,200
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,0,2,229
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,0.5,1,219
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,0.5,2,235
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,4,1,746
Cre16-g663900,PBGD1,A-Chlsynthesis,ho+BV,4,2,681
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,0,1,249
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,0,2,250
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,0.5,1,134
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,0.5,2,132
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,4,1,724
Cre16-g663900,PBGD1,A-Chlsynthesis,C1NT,4,2,719
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,0,1,212
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,0,2,229
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,0.5,1,124
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,0.5,2,127
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,4,1,764
Cre16-g663900,PBGD1,A-Chlsynthesis,C2NT,4,2,824
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,0,1,4
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,0,2,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,4,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WTNT,4,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,0,1,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,0,2,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,4,1,1
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,WT+BV,4,2,1
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,0,1,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,0,2,2
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,4,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,hoNT,4,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,0,1,2
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,0,2,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,4,1,1
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,ho+BV,4,2,1
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,0,1,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,0,2,2
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,4,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C1NT,4,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,0,1,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,0,2,3
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,0.5,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,0.5,2,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,4,1,0
Cre02-g113850,PBGD2HEM3,A-Chlsynthesis,C2NT,4,2,0
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,0,1,40
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,0,2,37
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,0.5,1,54
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,0.5,2,57
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,4,1,116
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WTNT,4,2,118
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,0,1,34
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,0,2,37
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,0.5,1,54
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,0.5,2,66
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,4,1,136
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,WT+BV,4,2,129
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,0,1,58
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,0,2,54
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,0.5,1,64
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,0.5,2,62
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,4,1,151
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,hoNT,4,2,161
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,0,1,54
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,0,2,58
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,0.5,1,71
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,0.5,2,74
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,4,1,178
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,ho+BV,4,2,160
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,0,1,49
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,0,2,47
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,0.5,1,59
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,0.5,2,58
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,4,1,145
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C1NT,4,2,141
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,0,1,42
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,0,2,44
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,0.5,1,51
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,0.5,2,49
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,4,1,132
Cre09-g409100,UROS1UPS1,A-Chlsynthesis,C2NT,4,2,134
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,0,1,160
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,0,2,155
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,0.5,1,93
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,0.5,2,92
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,4,1,837
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WTNT,4,2,848
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,0,1,146
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,0,2,148
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,0.5,1,93
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,0.5,2,112
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,4,1,913
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,WT+BV,4,2,882
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,0,1,152
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,0,2,160
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,0.5,1,104
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,0.5,2,107
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,4,1,643
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,hoNT,4,2,627
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,0,1,150
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,0,2,160
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,0.5,1,150
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,0.5,2,153
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,4,1,700
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,ho+BV,4,2,644
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,0,1,173
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,0,2,174
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,0.5,1,125
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,0.5,2,118
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,4,1,659
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C1NT,4,2,641
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,0,1,163
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,0,2,161
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,0.5,1,113
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,0.5,2,114
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,4,1,688
Cre11-g467700,UROD1UPD1,A-Chlsynthesis,C2NT,4,2,708
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,0,1,57
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,0,2,52
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,0.5,1,45
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,0.5,2,45
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,4,1,179
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WTNT,4,2,180
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,0,1,46
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,0,2,46
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,0.5,1,39
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,0.5,2,48
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,4,1,232
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,WT+BV,4,2,222
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,0,1,62
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,0,2,60
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,0.5,1,55
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,0.5,2,56
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,4,1,191
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,hoNT,4,2,200
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,0,1,56
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,0,2,61
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,0.5,1,62
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,0.5,2,64
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,4,1,200
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,ho+BV,4,2,181
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,C1NT,0,1,70
Cre02-g076300,UROD2UPD2,A-Chlsynthesis,C1NT,0,2,67
